time,height,speed,v_y,v_x,Ma,Cd_A_rocket,angle_to_vertical,deployment_angle_needed
3.0009999999997805,544.0292182825917,366.1506931833575,343.90007467841315,125.69434655080964,0.6917241105101788,0.00619314228062723,0.3504131023787115,0.519540118097018
3.0009999999997805,544.9530607792408,348.16235086190414,345.7666609836983,40.77301448104989,0.6891822747802376,0.006194663825537208,0.11737854954801352,0.6313289680141843
3.0009999999997805,546.4686431256868,362.4353374788485,345.80511614322677,108.52739517087956,0.6910203026556685,0.006193563580574359,0.30410496801452286,0.5609575993699303
3.0009999999997805,546.9989068867039,351.64333304986917,346.91167960084823,57.49191451795325,0.689491478457488,0.0061944787359676,0.1642322553596278,0.6301784824232701
3.0009999999997805,547.7705615277414,358.77921642515906,346.9390072274287,91.41034625630346,0.6904121840013588,0.006193927600889372,0.2576218529495671,0.5941299339079574
3.0009999999997805,547.943309071005,355.1820483307037,347.30563158773384,74.38471431577615,0.6899019536528701,0.006194233025185881,0.2109889381118574,0.6175231409232136
3.0009999999997805,548.9749384487972,369.4793358486607,347.0264389936715,126.83702242854427,0.6917241105101788,0.00619314228062723,0.3504131023787114,0.5475352674759308
3.0009999999997805,550.1430899295192,351.47818277487465,349.0596768025907,41.16132890467894,0.6891822747802376,0.006194663825537208,0.11737854954801351,0.665268292946154
3.0009999999997805,551.4821169158307,365.76043231810405,348.97764014454077,109.52305934675918,0.6910203026556685,0.006193563580574359,0.30410496801452286,0.5904867295367289
3.0009999999997805,552.1592739328049,354.96072298430187,350.18443129519585,58.03429107000942,0.689491478457488,0.0061944787359676,0.1642322553596278,0.6633508169612969
3.0009999999997805,552.8425111715168,362.1012462068735,350.1514054424975,92.25673835126922,0.6904121840013588,0.006193927600889372,0.257621852949567,0.6250012972641561
3.0009999999997805,553.0642745763415,358.50150672631776,350.55147861191824,75.07989856171798,0.6899019536528701,0.006194233025185881,0.2109889381118574,0.6497367374688119
3.0009999999997805,553.9206586150025,372.807978513964,350.1528033089298,127.97969830627892,0.6917241105101788,0.00619314228062723,0.3504131023787115,0.5757221644533298
3.0009999999997805,555.3331190797977,354.79401468784516,352.352692621483,41.54964332830799,0.6891822747802376,0.006194663825537208,0.11737854954801352,0.6995911130750954
3.0009999999997805,556.4955907059746,369.08552715735954,352.1501641458548,110.51872352263882,0.6910203026556685,0.006193563580574359,0.30410496801452286,0.6203993549004991
3.0009999999997805,557.3196409789059,358.2781129187346,353.45718298954347,58.57666762206558,0.689491478457488,0.0061944787359676,0.1642322553596278,0.6972901418932669
3.0009999999997805,557.9144608152922,365.42327598858793,353.3638036575663,93.103130446235,0.6904121840013588,0.006193927600889372,0.2576218529495671,0.6566396510142973
3.0009999999997805,558.185240081678,361.8209651219318,353.7973256361027,75.77508280765981,0.6899019536528701,0.006194233025185881,0.21098893811185737,0.6825255768098675
